File:,Blockiness:,SA:,Blockloss:,Blur:,TA:,Exposure(bri):,Contrast:,Noise:,Slice:,Flickering:,Tag:
Euronews_eng_V144_qcSkBQjl0Ak_Two-years-on-Utoya-still-sends-chill-into-Norwegian-summer---reporter_13.mp4,0.978345849,73.52178321,-1.0,2.739004717,2.768021274,126.8018868,44.42484009,3.497442925,9.426419811,-0.785966934,P
Euronews_eng_V144_Qygsoi8BVNY_France-polarised-by-gay-marriage-bill_17.mp4,0.897224865,136.1428105,-1.0,3.023054054,15.1985273,119.0990991,49.78150108,7.677379279,1.295288288,-0.79584,P
Euronews_eng_V144_OmBwvda9FkE_Farmers-suicides-the-rising-human-cost-of-the-EUs-agriculture-crisis---reporter_6.mp4,1.001220604,139.2669098,-1.0,2.607664835,17.62496154,125.6263736,63.29362879,3.353407143,5.798175824,-0.819489341,P
Euronews_eng_V144_lEK_ytXIbto_Friday-proves-deadly-in-Israel-and-the-Palestinian-territories-as-violence-goes-up-another-notch_6.mp4,1.007764044,91.21125622,-1.0,3.298528889,6.532873467,93.16444444,40.12283333,2.277247111,2.029306667,-0.794150267,P
Euronews_eng_V144_U9EAgC6OAvw_Historic-decision-on-gay-rights-in-US_0.mp4,0.894512429,148.4868281,-1.0,3.134949153,16.97502006,119.3389831,56.79081565,0.929629379,2.690700565,-0.796942599,P
Euronews_eng_V144_GFCNV3XPuI8_Emails-polls-and-why-Trump-is-no-Republican-our-correspondents-view_7.mp4,1.113945082,100.7357282,-1.0,2.654936475,2.242914723,98.49795082,34.25575837,4.803166906,2.842431352,-0.798381732,P
Euronews_eng_V144_xJoiNjqmZkc_Trump-says-Gulf-states-will-pay-for-Syrian-war_0.mp4,1.015503672,120.0026439,-1.0,2.441578125,4.326141914,79.390625,34.12821934,0.381965625,1.687,-0.786965703,P
France24_eng_V720_KTZhChqzjCs_Gemma-Arterton-Im-a-feminist-but-I-enjoy-watching-Bond-movies_75.mp4,0.865568372,70.33069267,0.19505814,5.741087209,9.724033285,125.0,68.7498136,0.0,8.623662791,-0.803699913,P
Euronews_eng_V144_JQvJNBhEU04_First-same-sex-couple-wed-in-France_22.mp4,0.955877362,119.9121656,-1.0,2.603397638,7.231715315,124.5826772,59.55649213,2.212357874,2.197464567,-0.781438268,P
France24_eng_V720_GmiVGcQiAhw_Biafran-separatists-allege-brutal-crackdown_133.mp4,1.110338279,85.81497738,0.7,3.243852459,1.722026967,124.0,48.67457898,0.381708607,8.006668033,-0.784756639,P
France24_eng_V720_3XWiT_g8xpA_Brazil-embroiled-in-political-and-economic-crisis_88.mp4,0.919034244,74.32035029,0.964951768,4.54485209,10.05278563,123.5819936,50.99107502,0.339401929,44.26254662,-0.798771158,P
Euronews_eng_V144_KoyLZTuXR1Y_Clinton-beats-Trump-to-the-polls-and-votes-early_3.mp4,0.988018054,109.6428029,-1.0,2.648503356,9.625958367,122.2013423,52.02856244,0.532523714,2.801026846,-0.813676152,P
Euronews_eng_V144_PINDCCDyW0w_Spains-Rajoy-looks-to-decisive-Saturday-vote-to-form-new-government---world_7.mp4,0.973595081,130.9620822,-1.0,3.091431452,12.75797556,122.6048387,46.28516524,1.711967339,1.477379032,-0.833995444,P
Euronews_eng_V144_z6W4qYphvMc_Live-Vladimir-Putins-annual-address-to-federal-assembly-in-Russia_5.mp4,0.87776729,138.3902619,-1.0,2.401615265,4.512097734,134.3691589,52.73981162,0.542211215,33.75716121,-0.792015974,P
Euronews_eng_V144_y0rn_vPoMGc_Obama-tells-Trump-to-stop-whining_8.mp4,0.92547055,111.4056915,-1.0,3.033205,17.1666901,107.875,44.0894908,0.4917295,8.005115,-0.8085293,P
Euronews_eng_V144_szgM28YnB74_Saunders-and-Trump-make-the-noise-in-New-Hampshire_11.mp4,0.972309573,109.0848212,-1.0,2.457668246,8.816864882,104.8957346,33.9512091,1.025224171,0.943464455,-0.78530109,P
Euronews_eng_V144_U5kTn0m0ecA_euronews-right-on---They-only-see-my-skin-colour_61.mp4,0.858407426,55.26935,-1.0,4.397389706,15.20440022,123.4852941,33.15933574,1.294559559,5.504595588,-0.800659706,P
